# Himno Nacional de Chile
# 120 BPM | waveform: square
# formato: midi_note  duration_ms  velocity
# midi_note=0 es silencio

0 500 0
83 125 10
84 500 10
0 500 0
83 125 10
84 375 10
80 125 10
81 375 10
76 125 10
77 375 10
73 125 10
74 375 10
70 125 10
71 500 10
0 125 0
67 125 10
69 125 10
71 125 10
72 125 10
74 125 10
76 125 10
77 250 10
77 125 10
77 125 10
77 250 10
77 250 10
77 250 10
77 250 10
77 250 10
77 250 10
76 250 10
76 125 10
77 125 10
74 250 10
74 125 10
76 125 10
72 500 10
